date,Carbon monoxide,Lead (TSP) LC,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Sulfur dioxide,daily_max_aqi,daily_avg_temp
2015/3/26,0.495833,0.013,30.473913,0.031353,36,6.9,0.3125,55,247
2015/3/27,0.583333,0.013,37.46087,0.037,36,11.7,0.517391,90,247.5
2015/3/28,0.4875,0.013,27.813043,0.03,36,14.3,0.373913,61,216.5
2015/3/29,0.470833,0.005,20.178261,0.037294,36,15.9,0.143478,64,194.5
2015/3/30,0.491667,0.005,21.690909,0.038235,36,19.3,0.208333,70,197.5
2015/3/31,0.425,0.005,26.068182,0.035294,36,24.3,0.181818,79,183.5
2015/4/1,0.254167,0.005,16.73913,0.040294,17,12.7,0.095833,58,188.5
2015/4/2,0.341667,0.005,25.913043,0.034471,17,11.7,0.1875,67,180.5
2015/4/3,0.433333,0.005,26.03913,0.046647,17,9.3,0.178261,77,219.5
2015/4/4,0.3375,0.002,22.952174,0.047647,17,10.2,0.441667,97,219.5
2015/4/5,0.245833,0.002,11.327273,0.046353,17,12.3,0.058333,74,178
2015/4/6,0.175,0.002,12.481818,0.040882,17,5.6,0.05,49,155.5
2015/4/8,0.283333,0.002,20.191304,0.027765,17,5.6,0.029167,47,152.5
2015/4/10,0.354167,0.003,19.990909,0.043824,20,9.1,0.133333,64,169.5
2015/4/11,0.295833,0.003,19.240909,0.042824,20,8.3,0.252174,67,169.5
2015/4/12,0.333333,0.003,14.309091,0.047941,20,8.6,0.147826,97,194.5
2015/4/13,0.3,0.003,15.804545,0.042059,20,13.4,0.091304,59,191.5
2015/4/14,0.204167,0.003,17.477273,0.035471,20,15,0.117391,62,186
2015/4/15,0.379167,0.003,28.036364,0.036294,20,12.9,0.220833,80,203
2015/4/16,0.520833,0.0055,30.25,0.039588,37,9.4,0.234783,80,197
2015/4/17,0.4625,0.0055,30.463636,0.040235,37,9.9,0.277273,74,202.5
2015/4/18,0.420833,0.0055,21.9,0.056143,37,12.6,0.465217,87,202.5
2015/4/19,0.414286,0.0055,13.7,0.053071,37,14.8,0.3,84,183.5
2015/4/20,0.352381,0.0055,13.766667,0.049143,37,13.4,0.078261,59,169.5
2015/4/21,0.3,0.0055,11.433333,0.048929,37,10.2,0.03913,53,169
2015/4/22,0.3,0.0035,13.747619,0.042429,13,9.2,0.034783,51,172.5
2015/4/23,0.341176,0.0035,14.104762,0.042706,13,7.4,0.022727,44,167
2015/4/24,0.295833,0.0035,12.521739,0.039353,13,6.7,-0.008696,40,166.5
2015/4/25,0.295833,0.0035,11.386957,0.027,13,7.7,-0.011765,43,161
2015/4/26,0.358333,0.0035,13.182609,0.035647,13,9.4,0.013043,52,186
2015/4/27,0.425,0.0035,23.23913,0.042353,13,9.5,0.091304,90,208.5
2015/4/28,0.4875,0.0095,32.65,0.040882,39,9,0.459091,101,247
2015/4/29,0.621429,0.0095,40.058824,0.0211,39,13.8,0.26087,78,236.5
2015/4/30,0.583333,0.0095,28.270588,0.027385,39,15.6,0.245,66,228
2015/5/1,0.654167,0.0095,28.477273,0.027941,39,15.6,0.06,63,214
2015/5/2,0.65,0.0095,21.536364,0.043176,39,16,0.115385,64,208.5
2015/5/3,0.333333,0.0095,8.227273,0.043412,39,13.5,0.011111,59,188.5
2015/5/4,0.3375,0.008,11.245455,0.042588,21,8.8,-0.016667,49,169.5
2015/5/5,0.304167,0.008,12.013636,0.036706,21,8.5,-0.04375,47,169
2015/5/6,0.333333,0.008,13.042857,0.0445,21,9.1,-0.071429,53,169
2015/5/7,0.304762,0.008,9.490909,0.038588,21,10.1,-0.1,53,152.5
2015/5/8,0.37,0.008,12.566667,0.030353,21,9.3,-0.072727,51,136
2015/5/9,0.425,0.008,14.986364,0.026176,21,13.9,0.213043,60,167
2015/5/10,0.533333,0.005,13.486364,0.036059,29,13.6,-0.013636,59,172
2015/5/11,0.541667,0.005,18.463636,0.036882,29,14.1,-0.01,60,191.5
2015/5/12,0.341667,0.005,13.754545,0.042118,29,12.3,-0.075,57,180.5
2015/5/13,0.3,0.005,12.33913,0.041765,29,12.2,-0.08,57,175
2015/5/14,0.304167,0.005,16.773913,0.031176,29,6.2,0.0125,35,158.5
2015/5/15,0.366667,0.005,14.236364,0.032059,29,6.5,-0.066667,44,158.5
2015/5/16,0.35,0.004,11.586957,0.036941,29,8.2,-0.09,46,175
2015/5/17,0.333333,0.004,8.582609,0.044882,18,9.7,-0.1,52,183
2015/5/18,0.3,0.004,11.834783,0.035529,18,6.8,-0.1,45,186.5
2015/5/19,0.341667,0.004,14.586364,0.034588,18,7.5,0.01,44,180.5
2015/5/20,0.370833,0.004,16.722727,0.037706,18,8.8,-0.044444,49,180.5
2015/5/21,0.304167,0.004,11.791304,0.037882,18,6.3,-0.014286,43,178
2015/5/22,0.3,0.002,9.286957,0.034294,18,5.3,-0.09375,37,172.5
2015/5/23,0.304167,0.002,9.66087,0.039647,13,5.9,-0.042857,42,178
2015/5/24,0.3,0.002,5.886364,0.042,13,8.5,-0.1,47,177.5
2015/5/25,0.3,0.002,8.630435,0.042,13,10.2,0,53,178
2015/5/27,0.3125,0.002,10.726316,0.037267,13,13.6,-0.1,59,183
2015/5/28,0.366667,0.0045,16.247826,0.035471,33,12.5,0.006667,57,189
